N°,Observación,Estado,Justificación
1,"The manuscript requires thorough proofreading to improve grammar, punctuation, spacing, and overall academic writing quality. Several awkward sentence constructions, inconsistent terminology, and minor typographical errors reduce readability throughout the manuscript.",Pendiente,
2,"The abstract should be revised to clearly separate the research problem (decision tree overfitting and structural complexity), the proposed Structural Regularized Cost-Complexity Pruning (SR-CCP) method, the structural regularization strategy, the experimental setup, and the key quantitative findings.",Pendiente,
3,The introduction should be condensed by reducing repetitive discussion of decision tree variants and conventional pruning methods while placing greater emphasis on the limitations of existing Cost-Complexity Pruning techniques.,Pendiente,
4,"The research gap should be stated more explicitly, particularly explaining why existing pruning techniques fail to jointly optimize predictive performance, tree depth, and feature utilization.",Pendiente,
5,"The novelty of the proposed SR-CCP algorithm should be emphasized more clearly by explicitly distinguishing it from classical CCP, Reduced Error Pruning (REP), Minimal Error Pruning (MEP), and Depth-Based Pruning (DBP).",Pendiente,
6,"The related work should be strengthened by incorporating additional recent studies (2024–2026) on decision tree pruning, interpretable machine learning, model compression, and structural regularization techniques.",Pendiente,
7,"The methodology section should provide a clearer step-by-step explanation of the complete SR-CCP workflow, including tree generation, pruning path construction, Bayesian optimization, structural regularization, and model selection.",Pendiente,
8,"The mathematical formulation should be expanded with clearer explanations of the proposed objective function, the role of each regularization parameter, and the theoretical motivation for incorporating depth and feature penalties.",Pendiente,
9,"The hyperparameter optimization procedure should be described in greater detail, including the Bayesian optimization settings, search iterations, convergence criteria, and computational cost.",Pendiente,
10,"The experimental setup should include complete implementation details, including software libraries, hardware specifications, execution environment, random seed, and reproducibility parameters.",Pendiente,
11,"The results section should include statistical significance analysis (e.g., paired t-test, Wilcoxon signed-rank test, or Friedman/Nemenyi tests) to demonstrate that the reported improvements are statistically significant.",Pendiente,
12,"Additional comparisons with recent interpretable tree-learning algorithms, regularized tree methods, gradient-boosted tree pruning techniques, and explainable machine learning approaches should be included to strengthen the experimental evaluation.",Pendiente,
13,"The discussion should provide deeper analysis of the trade-offs between predictive performance, model simplicity, feature reduction, and inference time instead of primarily reporting numerical results.",Pendiente,
14,An ablation study should be included to evaluate the independent contribution of the depth penalty and feature penalty components within the proposed SR-CCP objective function.,Pendiente,
15,The computational complexity of the proposed algorithm should be analyzed and compared with existing pruning techniques to demonstrate its scalability for larger datasets.,Pendiente,
16,"The conclusion should better emphasize the validated technical contribution, practical implications for interpretable machine learning, study limitations, and future research directions such as ensemble tree pruning and adaptive regularization.",Pendiente,
17,"All figures should be cited and discussed in the body text before they appear, with stronger analytical discussion rather than descriptive explanation.",Pendiente,
18,"Improve the resolution of all figures significantly. All plots, radar charts, boxplots, and workflow diagrams should be replaced with high-resolution (≥300 DPI) or vector-based formats (SVG/PDF) suitable for journal publication standards.",Pendiente,
19,"Add a complete workflow diagram illustrating dataset preparation, baseline tree generation, Bayesian optimization, SR-CCP pruning, and final model evaluation.",Pendiente,
20,"Add a statistical comparison chart summarizing the performance of all pruning methods across all evaluation metrics, including significance indicators.",Pendiente,
21,Add a parameter sensitivity analysis illustrating the influence of the regularization parameters (λd and λf) on tree complexity and predictive performance.,Pendiente,
22,"Add a computational efficiency comparison showing training time, pruning time, inference time, and memory usage for all pruning methods.",Implementado,"Para atender esta observación, se diseñó un protocolo de evaluación de eficiencia computacional que contempla cinco dimensiones de medida, cada una reportada en la tabla de resultados consolidados y acompañada de su correspondiente representación gráfica.

En primer lugar, el tiempo de entrenamiento (Train_Time_ms) fue registrado mediante un cronómetro de alta resolución que capturó el intervalo transcurrido desde el inicio del procedimiento de ajuste del modelo —incluyendo la fase de búsqueda de hiperparámetros por optimización bayesiana en los métodos que lo requieren— hasta su finalización completa.

En segundo lugar, el tiempo de poda (Prune_Time_ms) fue medido de forma independiente con el fin de aislar el costo computacional inherente al proceso de poda como fase diferenciada del entrenamiento; dicho intervalo se delimitó a partir del momento en que concluyó el ajuste inicial del árbol o la exploración del espacio de parámetros, hasta la finalización del procedimiento de poda propiamente dicho. Para aquellos métodos cuya estrategia de reducción de complejidad está incorporada en la fase de entrenamiento y no constituye una etapa separada —como es el caso de Base y DepthPruning—, este valor fue registrado como cero.

En tercer lugar, el tiempo de inferencia (Inference_Time_ms) se determinó mediante la ejecución repetida de la operación de predicción sobre el conjunto de prueba, descartando la primera ejecución con el propósito de eliminar sesgos asociados al calentamiento del sistema operativo y del intérprete, y calculando la mediana de las mediciones restantes como estimador robusto frente a la presencia de valores atípicos; la desviación estándar asociada (Inference_Time_Std_ms) fue reportada como indicador de la estabilidad de la latencia predictiva.

En cuarto lugar, se evalúaron dos métricas complementarias de consumo de memoria. La primera, Memory_KB, representa la huella de almacenamiento del modelo entrenado, estimada mediante la serialización del objeto del modelo en una secuencia de bytes y registrando el tamaño resultante en kilobytes; esta métrica refleja directamente los requerimientos de persistencia del modelo para su almacenamiento y despliegue en entornos productivos. La segunda, Peak_Memory_KB, representa el consumo máximo de memoria RAM durante la ejecución completa del procedimiento de entrenamiento y poda de cada método, medido mediante tracemalloc, un módulo estándar del lenguaje de programación Python que instrumenta las asignaciones de memoria en tiempo de ejecución y registra el valor máximo de bytes reservados simultáneamente; esta métrica constituye el indicador del requisito mínimo de memoria física necesario para ejecutar cada método sin incurrir en paginación al disco duro. La distinción entre ambas métricas resulta relevante porque un modelo puede tener una huella de almacenamiento reducida pero requerir picos significativos de memoria durante su entrenamiento, particularmente cuando el método involucra búsquedas de hiperparámetros o iteraciones múltiples sobre el conjunto de datos.

Todos los valores computacionales fueron agregados mediante el cálculo de la media y la desviación estándar a lo largo de los cinco pliegues resultantes de la validación cruzada estratificada. Adicionalmente, se generaron gráficas de barras correspondientes a cada métrica temporal y de memoria, empleando escala logarítmica en el eje vertical para facilitar la comparación visual entre métodos cuyos costos computacionales difieren en órdenes de magnitud."
23,"Ensure all tables follow the journal formatting requirements, with captions placed above tables, consistent formatting, uniform decimal precision, and clearly defined abbreviations and evaluation metrics.",Pendiente,
24,All references should be cited in the body of the text in the same order in which they appear in the reference list at the end of the paper.,Pendiente,
